@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
13,'2025/11/15 19:21:56:900',1,0.273876,0.188496,0.337297,0.244877,0.356608,0.332611,0.391139,0.286435,0.40862,0.303855,0.471092,0.318874,0.582303,0.325952,0.649385,0.327573,0.712309,0.251664,0.459972,0.228736,0.585733,0.217781,0.668243,0.203896,0.73797,0.212211,0.415301,0.203958,0.48624,0.251785,0.415689,0.280678,0.358793,0.183331,0.348036,0,0,0.198118,0.398372,0.238748,0.355695,0.331934,1
14,'2025/11/15 19:21:56:932',1,0.273282,0.18689,0.337418,0.242368,0.357765,0.334723,0.391587,0.286633,0.40812,0.305329,0.471475,0.318921,0.58208,0.324912,0.648524,0.325755,0.711495,0.25244,0.461076,0.228228,0.585938,0.216184,0.668506,0.201158,0.738658,0.212508,0.416133,0.202342,0.489046,0.251038,0.417488,0.280825,0.360142,0.183023,0.348017,0,0,0.197511,0.399585,0.23831,0.355575,0.329551,1
15,'2025/11/15 19:21:56:975',1,0.273169,0.187148,0.336509,0.245157,0.355297,0.331677,0.394642,0.284434,0.407803,0.303343,0.472309,0.318538,0.582636,0.325959,0.649399,0.327221,0.712051,0.250774,0.46115,0.227582,0.586358,0.21603,0.668711,0.201239,0.738667,0.211114,0.416086,0.202577,0.486158,0.251086,0.415606,0.281061,0.359117,0.182125,0.347909,0,0,0.197969,0.397387,0.238913,0.35415,0.33447,1
16,'2025/11/15 19:21:57:022',1,0.271894,0.189064,0.336534,0.247087,0.354514,0.330648,0.394387,0.283841,0.408724,0.302701,0.476243,0.317882,0.585333,0.324976,0.651456,0.326273,0.71333,0.249744,0.465378,0.225877,0.589349,0.213832,0.671663,0.198637,0.741254,0.209269,0.420175,0.200617,0.490719,0.250403,0.418673,0.281108,0.362035,0.18013,0.351789,0,0,0.197438,0.39854,0.239276,0.354406,0.336193,1
17,'2025/11/15 19:21:57:030',1,0.271665,0.192026,0.335515,0.245418,0.354603,0.331042,0.389662,0.28532,0.408812,0.303511,0.475697,0.317811,0.585374,0.324668,0.651507,0.326029,0.713659,0.249951,0.466436,0.225498,0.590479,0.212901,0.672057,0.197637,0.740946,0.209237,0.422313,0.200172,0.49006,0.248651,0.417776,0.278686,0.361064,0.179864,0.354922,0,0,0.196947,0.396739,0.238345,0.352341,0.330772,1
18,'2025/11/15 19:21:57:064',1,0.270653,0.19172,0.334989,0.244342,0.353198,0.330257,0.38517,0.286048,0.40789,0.30207,0.474153,0.317646,0.585694,0.32519,0.65226,0.326571,0.715018,0.248742,0.46507,0.223859,0.589194,0.21091,0.670703,0.195267,0.739868,0.208304,0.421496,0.199287,0.487816,0.247406,0.418668,0.277664,0.363097,0.179243,0.355423,0,0,0.196416,0.39544,0.237316,0.352238,0.327791,1
19,'2025/11/15 19:21:57:109',1,0.26763,0.192511,0.331797,0.249632,0.348297,0.323182,0.390803,0.2792,0.406441,0.301358,0.47517,0.317814,0.5864,0.325574,0.653436,0.326908,0.715838,0.247086,0.466784,0.223049,0.592063,0.210313,0.67442,0.193962,0.743438,0.205756,0.423333,0.196942,0.4884,0.246153,0.417824,0.276493,0.361085,0.176167,0.357046,0,0,0.194197,0.395772,0.235447,0.351882,0.336334,1
20,'2025/11/15 19:21:57:142',1,0.266902,0.194505,0.330181,0.25017,0.34638,0.320799,0.388882,0.276425,0.407002,0.301183,0.476722,0.317266,0.588574,0.324417,0.655576,0.325442,0.717803,0.246801,0.469064,0.222443,0.595878,0.209134,0.677899,0.19311,0.747014,0.205239,0.425853,0.194306,0.494825,0.241033,0.419838,0.270269,0.361119,0.175766,0.358297,0,0,0.190635,0.400447,0.231441,0.353909,0.334256,1
21,'2025/11/15 19:21:57:196',1,0.264799,0.194086,0.329511,0.249027,0.346676,0.319044,0.386863,0.274377,0.407213,0.299677,0.477429,0.317402,0.589197,0.324395,0.655755,0.325501,0.718587,0.245173,0.470586,0.221374,0.59875,0.208738,0.679758,0.193143,0.748469,0.203546,0.427099,0.191702,0.498331,0.239144,0.42364,0.268949,0.36419,0.173529,0.358845,0,0,0.186585,0.402276,0.227157,0.355383,0.332157,1
22,'2025/11/15 19:21:57:201',1,0.256529,0.197113,0.321034,0.25167,0.337856,0.31386,0.37974,0.274927,0.402679,0.297846,0.478744,0.317685,0.591027,0.3249,0.657725,0.325447,0.721412,0.24314,0.473918,0.220139,0.603002,0.207261,0.684414,0.190977,0.754317,0.200701,0.431135,0.188359,0.50381,0.235501,0.428078,0.265515,0.368982,0.170091,0.36314,0,0,0.18259,0.40517,0.222843,0.35793,0.329355,1
23,'2025/11/15 19:21:57:250',1,0.257873,0.196567,0.321608,0.250168,0.33901,0.312426,0.381716,0.268935,0.40585,0.295967,0.480404,0.316852,0.594646,0.325146,0.663128,0.326435,0.727141,0.239612,0.474712,0.217374,0.603542,0.204414,0.686859,0.188381,0.756805,0.196092,0.43321,0.183501,0.502538,0.230916,0.429904,0.26206,0.371422,0.164823,0.36657,0,0,0.180177,0.402719,0.221045,0.353565,0.33067,1
24,'2025/11/15 19:21:57:269',1,0.254293,0.201532,0.31743,0.253679,0.334066,0.308654,0.379868,0.266112,0.405455,0.290787,0.484053,0.31201,0.596711,0.320602,0.664536,0.322182,0.728568,0.235546,0.478332,0.212488,0.607689,0.199095,0.690301,0.182932,0.76094,0.193358,0.436066,0.183049,0.506599,0.229082,0.430902,0.258685,0.372149,0.163559,0.369114,0,0,0.178599,0.407764,0.218875,0.3581,0.331478,1
25,'2025/11/15 19:21:57:329',1,0.253088,0.202141,0.314861,0.253845,0.33211,0.313028,0.38055,0.268571,0.403693,0.288579,0.482482,0.309803,0.59667,0.318942,0.664377,0.320318,0.729683,0.233538,0.477738,0.210464,0.609359,0.197544,0.693122,0.180509,0.764895,0.191495,0.435392,0.178741,0.510354,0.226399,0.431881,0.257082,0.370674,0.162224,0.368248,0,0,0.176063,0.41113,0.216098,0.360504,0.329831,1
26,'2025/11/15 19:21:57:335',1,0.25356,0.205226,0.314805,0.25786,0.332249,0.311225,0.383877,0.266656,0.407984,0.289209,0.484445,0.30877,0.598502,0.317408,0.665749,0.318645,0.730006,0.234872,0.479449,0.211954,0.611635,0.19844,0.694397,0.18104,0.764613,0.193672,0.437272,0.179784,0.512064,0.226755,0.434668,0.257483,0.374809,0.164909,0.369328,0,0,0.176532,0.410354,0.21629,0.360672,0.333305,1
27,'2025/11/15 19:21:57:365',1,0.252726,0.203123,0.316688,0.256031,0.335528,0.312924,0.385822,0.266857,0.406501,0.291047,0.484176,0.31016,0.598913,0.319331,0.665868,0.320801,0.729277,0.237408,0.478402,0.215031,0.60902,0.201961,0.691896,0.184708,0.76099,0.197246,0.435976,0.18174,0.513444,0.226976,0.439049,0.256709,0.380012,0.168162,0.368567,0,0,0.178919,0.414142,0.217453,0.366328,0.33407,1
28,'2025/11/15 19:21:57:436',1,0.258555,0.205688,0.318872,0.261159,0.33422,0.314799,0.389986,0.273602,0.411798,0.294533,0.483065,0.315552,0.594271,0.325913,0.660815,0.328552,0.724005,0.241911,0.477267,0.220322,0.607434,0.207779,0.688579,0.191542,0.756708,0.201196,0.434998,0.188537,0.511113,0.233054,0.438225,0.262031,0.379841,0.172497,0.369043,0,0,0.184939,0.415902,0.223477,0.369462,0.338598,1
29,'2025/11/15 19:21:57:441',1,0.268328,0.206411,0.324524,0.264084,0.338817,0.316633,0.389553,0.272776,0.407657,0.300581,0.48283,0.319287,0.592668,0.327408,0.658216,0.329953,0.720081,0.248704,0.475765,0.227757,0.601157,0.21466,0.683286,0.198615,0.753607,0.207482,0.433501,0.19572,0.509534,0.237809,0.43744,0.264776,0.378872,0.178631,0.368635,0,0,0.189768,0.415352,0.227483,0.368635,0.341398,1
30,'2025/11/15 19:21:57:485',1,0.271785,0.205742,0.329908,0.25794,0.347692,0.323113,0.38287,0.28004,0.40508,0.306244,0.482784,0.324364,0.589645,0.333159,0.654858,0.336904,0.715475,0.254547,0.475687,0.234695,0.60089,0.221164,0.680349,0.205038,0.748306,0.21402,0.433104,0.204874,0.504266,0.245849,0.432106,0.271048,0.373724,0.184925,0.366433,0,0,0.195463,0.41513,0.23305,0.369327,0.334001,1
31,'2025/11/15 19:21:57:498',1,0.281173,0.208267,0.337821,0.258348,0.351191,0.328859,0.378084,0.290346,0.401446,0.310253,0.479069,0.328721,0.585703,0.337878,0.649472,0.34091,0.7093,0.259031,0.472695,0.238033,0.598814,0.226166,0.67754,0.210639,0.743999,0.219625,0.430764,0.207584,0.500571,0.252357,0.430423,0.281216,0.373398,0.191599,0.364138,0,0,0.202011,0.40522,0.240537,0.360495,0.330432,1
32,'2025/11/15 19:21:57:557',1,0.285157,0.203757,0.341054,0.254564,0.356681,0.335229,0.380729,0.294041,0.399115,0.314612,0.474178,0.332601,0.579194,0.341776,0.642563,0.346287,0.70177,0.265067,0.466901,0.246072,0.589538,0.234562,0.669938,0.220335,0.737923,0.22592,0.424964,0.215815,0.495489,0.259438,0.424794,0.287639,0.367299,0.198961,0.359885,0,0,0.208597,0.406065,0.24734,0.360593,0.329189,1
33,'2025/11/15 19:21:57:564',1,0.284275,0.207834,0.342312,0.257642,0.361694,0.339501,0.384143,0.295282,0.399662,0.320634,0.473156,0.338335,0.577099,0.347784,0.639387,0.351923,0.698084,0.270723,0.466839,0.252485,0.589493,0.240756,0.667392,0.226031,0.731793,0.231397,0.425419,0.225421,0.493342,0.266192,0.423351,0.291218,0.366038,0.203564,0.361866,0,0,0.216966,0.404695,0.253509,0.360559,0.332368,1
34,'2025/11/15 19:21:57:615',1,0.287693,0.208784,0.346415,0.255776,0.367961,0.346898,0.384855,0.303452,0.40421,0.325739,0.471958,0.343107,0.575122,0.35232,0.636712,0.356535,0.694915,0.276012,0.465747,0.255135,0.586955,0.245342,0.664114,0.232882,0.728687,0.236775,0.42541,0.228726,0.495737,0.270459,0.427162,0.296234,0.37064,0.208147,0.362958,0,0,0.22064,0.408297,0.255685,0.364069,0.329469,1
35,'2025/11/15 19:21:57:666',1,0.291936,0.213558,0.348174,0.26007,0.36784,0.34784,0.382706,0.309418,0.406317,0.326714,0.473224,0.345981,0.573363,0.356522,0.633465,0.361436,0.690762,0.277901,0.467513,0.257402,0.588842,0.247668,0.663758,0.235798,0.727394,0.239413,0.427457,0.23376,0.49521,0.27493,0.426788,0.300514,0.37115,0.211406,0.366223,0,0,0.225705,0.406196,0.260589,0.361771,0.331799,1
36,'2025/11/15 19:21:57:671',1,0.292863,0.208402,0.3514,0.252932,0.37457,0.354559,0.381916,0.313633,0.404265,0.332071,0.470367,0.348191,0.572573,0.356455,0.632872,0.361077,0.689809,0.282666,0.464157,0.262194,0.584006,0.252336,0.659578,0.240834,0.722879,0.243984,0.424862,0.237317,0.496478,0.277574,0.427439,0.302216,0.37082,0.215821,0.36365,0,0,0.228856,0.409891,0.263413,0.364646,0.326179,1
37,'2025/11/15 19:21:57:724',1,0.291455,0.208157,0.352086,0.249747,0.377054,0.356678,0.379257,0.313811,0.402626,0.334039,0.469613,0.3515,0.570555,0.360403,0.63093,0.364338,0.68851,0.284763,0.464847,0.265419,0.581907,0.254936,0.656708,0.243227,0.719918,0.246282,0.42698,0.239587,0.49146,0.280408,0.426296,0.306823,0.372775,0.216524,0.367058,0,0,0.230192,0.40569,0.265752,0.362979,0.321831,1
38,'2025/11/15 19:21:57:738',1,0.292215,0.209684,0.352526,0.250695,0.378324,0.358891,0.381281,0.314819,0.402592,0.333314,0.47083,0.352706,0.571068,0.362081,0.631417,0.366491,0.688595,0.284663,0.465051,0.265233,0.581734,0.25541,0.656582,0.243403,0.720971,0.246721,0.426769,0.24194,0.490162,0.282361,0.42298,0.307053,0.368933,0.216802,0.36719,0,0,0.231527,0.40669,0.267008,0.364027,0.322904,1
39,'2025/11/15 19:21:57:764',1,0.292889,0.209957,0.353443,0.250378,0.38072,0.361402,0.385119,0.316462,0.407897,0.335035,0.471408,0.354266,0.572824,0.363993,0.633735,0.368804,0.690623,0.286453,0.465126,0.266639,0.583282,0.256724,0.658595,0.244227,0.72237,0.247551,0.427128,0.243451,0.49255,0.284252,0.426333,0.308887,0.372455,0.217018,0.368402,0,0,0.233904,0.406668,0.269106,0.363151,0.323769,1
40,'2025/11/15 19:21:57:810',1,0.294453,0.213175,0.356466,0.250871,0.385992,0.365598,0.382649,0.320557,0.408486,0.338782,0.472055,0.358108,0.573858,0.36714,0.634656,0.370901,0.692276,0.289878,0.465841,0.269797,0.584041,0.258708,0.659498,0.245762,0.723941,0.251672,0.42758,0.245406,0.495244,0.285644,0.427726,0.310962,0.372721,0.22132,0.368462,0,0,0.236492,0.407937,0.271206,0.362388,0.322282,1
41,'2025/11/15 19:21:57:843',1,0.29819,0.208918,0.364093,0.245043,0.398628,0.373291,0.381058,0.324315,0.405861,0.343371,0.472825,0.361542,0.573542,0.370072,0.635493,0.374908,0.693043,0.293089,0.465709,0.272601,0.583293,0.261125,0.660607,0.248503,0.72558,0.253926,0.427261,0.248606,0.492232,0.289984,0.42548,0.316198,0.370741,0.222077,0.36737,0,0,0.237935,0.405911,0.274492,0.359808,0.319264,1
42,'2025/11/15 19:21:57:895',1,0.302367,0.207147,0.366763,0.24879,0.400887,0.37681,0.382604,0.327493,0.406048,0.34369,0.469062,0.361592,0.567869,0.371369,0.629626,0.377731,0.687562,0.294507,0.461344,0.274574,0.58023,0.263964,0.658277,0.252215,0.72386,0.256908,0.422447,0.252852,0.487425,0.293781,0.421385,0.319706,0.366389,0.22719,0.362764,0,0,0.24201,0.405258,0.277869,0.361513,0.323813,1
43,'2025/11/15 19:21:57:900',1,0.311274,0.208552,0.374083,0.253804,0.402913,0.378336,0.384633,0.331759,0.404048,0.34841,0.471236,0.368029,0.569842,0.378064,0.63126,0.384109,0.688674,0.298781,0.463404,0.278749,0.579587,0.267648,0.65653,0.255214,0.721945,0.261055,0.42427,0.257777,0.485942,0.298564,0.419768,0.324228,0.365995,0.23221,0.363952,0,0,0.247399,0.402697,0.283191,0.359098,0.330404,1
44,'2025/11/15 19:21:57:944',1,0.313438,0.206867,0.377089,0.253719,0.408158,0.385574,0.382192,0.341279,0.400613,0.359648,0.471233,0.376477,0.569658,0.385075,0.63034,0.390445,0.685593,0.308811,0.464834,0.287018,0.580403,0.274859,0.656743,0.262742,0.719859,0.269054,0.426285,0.265878,0.48439,0.305334,0.421271,0.330211,0.367569,0.240364,0.36808,0,0,0.25677,0.400448,0.290987,0.355717,0.331249,1
45,'2025/11/15 19:21:57:964',1,0.327212,0.205213,0.387868,0.255253,0.419232,0.398513,0.380996,0.359225,0.403636,0.366228,0.471954,0.386482,0.568197,0.396977,0.629885,0.403764,0.685264,0.316844,0.463374,0.296883,0.580575,0.285516,0.657205,0.273932,0.721,0.277861,0.423843,0.277757,0.479966,0.316861,0.418933,0.341193,0.366469,0.249664,0.364842,0,0,0.265964,0.403448,0.300856,0.361763,0.330361,1
46,'2025/11/15 19:21:58:025',1,0.341935,0.20796,0.398512,0.256106,0.426371,0.41063,0.374177,0.371062,0.393245,0.377572,0.473345,0.400179,0.56864,0.411542,0.629651,0.419631,0.684275,0.329334,0.466687,0.31091,0.582443,0.300701,0.657202,0.290729,0.719246,0.289857,0.426849,0.292298,0.480425,0.329362,0.41998,0.352789,0.366779,0.262998,0.366877,0,0,0.279742,0.396835,0.31456,0.357938,0.324549,1
47,'2025/11/15 19:21:58:066',1,0.353607,0.210757,0.412161,0.255033,0.440674,0.426425,0.367102,0.391265,0.385949,0.392906,0.467859,0.413055,0.567327,0.423698,0.629928,0.431464,0.685904,0.346128,0.46272,0.33116,0.579986,0.321809,0.656984,0.31116,0.719694,0.306884,0.424286,0.308566,0.482441,0.347242,0.42832,0.371107,0.377731,0.278406,0.365834,0,0,0.295405,0.400731,0.329324,0.366233,0.320217,1
48,'2025/11/15 19:21:58:071',1,0.367769,0.214062,0.426695,0.251995,0.457899,0.449727,0.355387,0.422143,0.382765,0.409704,0.465705,0.428102,0.568494,0.439053,0.63132,0.447352,0.688152,0.364132,0.460126,0.352261,0.57903,0.343786,0.658001,0.334288,0.720819,0.325481,0.423021,0.336542,0.474285,0.376335,0.421173,0.400741,0.370324,0.297199,0.366097,0,0,0.32053,0.39576,0.356047,0.360237,0.309865,1
49,'2025/11/15 19:21:58:098',1,0.377256,0.221778,0.438118,0.256066,0.472857,0.469136,0.352695,0.446262,0.384364,0.429125,0.462987,0.448188,0.563726,0.459319,0.624307,0.468056,0.678537,0.384371,0.459497,0.37408,0.5804,0.367646,0.658564,0.359203,0.720446,0.346137,0.424308,0.357657,0.4744,0.397941,0.425453,0.422778,0.377713,0.317999,0.368885,0,0,0.340832,0.399574,0.375627,0.368075,0.307915,1
50,'2025/11/15 19:21:58:145',1,0.40371,0.217028,0.463249,0.252201,0.500537,0.495583,0.360816,0.466188,0.384605,0.453421,0.45907,0.471626,0.559041,0.483884,0.621013,0.492828,0.674709,0.408016,0.456342,0.397231,0.582874,0.392169,0.662718,0.385087,0.724949,0.368916,0.422186,0.386128,0.472423,0.4254,0.424365,0.448206,0.377222,0.338647,0.367833,0,0,0.365829,0.400195,0.399543,0.367713,0.30968,1
51,'2025/11/15 19:21:58:201',1,0.422377,0.213574,0.481056,0.252945,0.517359,0.518835,0.354866,0.498684,0.380663,0.470187,0.463343,0.490094,0.56036,0.500796,0.620258,0.508276,0.673774,0.425556,0.459036,0.418183,0.578297,0.415935,0.658363,0.410987,0.722538,0.387199,0.424663,0.412385,0.464527,0.45138,0.415643,0.472985,0.368769,0.35892,0.371475,0,0,0.393125,0.39298,0.427634,0.36021,0.30883,1
52,'2025/11/15 19:21:58:206',1,0.439324,0.217286,0.497787,0.256715,0.538632,0.543248,0.363336,0.513761,0.384319,0.490056,0.465724,0.512955,0.55809,0.526586,0.614164,0.538273,0.664611,0.4445,0.46144,0.434667,0.580397,0.435419,0.656357,0.434548,0.719762,0.404897,0.426632,0.433837,0.469956,0.473654,0.416055,0.492988,0.367967,0.375895,0.372526,0,0,0.413714,0.394378,0.448077,0.35776,0.315486,1
53,'2025/11/15 19:21:58:232',1,0.467682,0.208413,0.522392,0.247388,0.558828,0.559108,0.364618,0.527389,0.381597,0.506581,0.462424,0.527532,0.559181,0.539503,0.617509,0.549724,0.667622,0.459642,0.456675,0.445665,0.580495,0.446067,0.659449,0.446643,0.723005,0.419308,0.421233,0.445633,0.471552,0.483589,0.417203,0.502364,0.36665,0.390746,0.366977,0,0,0.429295,0.39299,0.464634,0.353555,0.311577,1
54,'2025/11/15 19:21:58:304',1,0.483692,0.206087,0.538647,0.247823,0.576229,0.574515,0.367364,0.538255,0.392097,0.515703,0.465157,0.536226,0.562737,0.547463,0.621879,0.556681,0.674679,0.467749,0.459773,0.452262,0.584387,0.452038,0.663498,0.451543,0.729218,0.428303,0.422099,0.461201,0.471124,0.501409,0.415345,0.519583,0.366022,0.402153,0.365898,0,0,0.443976,0.396395,0.479186,0.358287,0.314558,1
55,'2025/11/15 19:21:58:309',1,0.500997,0.206796,0.556552,0.249389,0.591572,0.586326,0.372845,0.54809,0.394138,0.529635,0.466793,0.548018,0.565695,0.561308,0.624603,0.573037,0.677181,0.480609,0.464232,0.463134,0.590412,0.462938,0.670534,0.463284,0.735331,0.441473,0.427751,0.475454,0.470741,0.514649,0.412506,0.53266,0.361943,0.41701,0.371664,0,0,0.460813,0.393286,0.496068,0.354027,0.319303,1
